instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,daylight_hrs
1,2011-01-01,1,0,1,0,False,6,False,1,0.24,0.2879,0.81,0.0,3,13,16,9.8
2,2011-01-01,1,0,1,1,False,6,False,1,0.22,0.2727,0.8,0.0,8,32,40,9.8
3,2011-01-01,1,0,1,2,False,6,False,1,0.22,0.2727,0.8,0.0,5,27,32,9.8
4,2011-01-01,1,0,1,3,False,6,False,1,0.24,0.2879,0.75,0.0,3,10,13,9.8
5,2011-01-01,1,0,1,4,False,6,False,1,0.24,0.2879,0.75,0.0,0,1,1,9.8
6,2011-01-01,1,0,1,5,False,6,False,2,0.24,0.2576,0.75,0.0896,0,1,1,9.8
7,2011-01-01,1,0,1,6,False,6,False,1,0.22,0.2727,0.8,0.0,2,0,2,9.8
8,2011-01-01,1,0,1,7,False,6,False,1,0.2,0.2576,0.86,0.0,1,2,3,9.8
9,2011-01-01,1,0,1,8,False,6,False,1,0.24,0.2879,0.75,0.0,1,7,8,9.8
10,2011-01-01,1,0,1,9,False,6,False,1,0.32,0.3485,0.76,0.0,8,6,14,9.8
11,2011-01-01,1,0,1,10,False,6,False,1,0.38,0.3939,0.76,0.2537,12,24,36,9.8
12,2011-01-01,1,0,1,11,False,6,False,1,0.36,0.3333,0.81,0.2836,26,30,56,9.8
13,2011-01-01,1,0,1,12,False,6,False,1,0.42,0.4242,0.77,0.2836,29,55,84,9.8
14,2011-01-01,1,0,1,13,False,6,False,2,0.46,0.4545,0.72,0.2985,47,47,94,9.8
15,2011-01-01,1,0,1,14,False,6,False,2,0.46,0.4545,0.72,0.2836,35,71,106,9.8
16,2011-01-01,1,0,1,15,False,6,False,2,0.44,0.4394,0.77,0.2985,40,70,110,9.8
17,2011-01-01,1,0,1,16,False,6,False,2,0.42,0.4242,0.82,0.2985,41,52,93,9.8
18,2011-01-01,1,0,1,17,False,6,False,2,0.44,0.4394,0.82,0.2836,15,52,67,9.8
19,2011-01-01,1,0,1,18,False,6,False,3,0.42,0.4242,0.88,0.2537,9,26,35,9.8
20,2011-01-01,1,0,1,19,False,6,False,3,0.42,0.4242,0.88,0.2537,6,31,37,9.8
21,2011-01-01,1,0,1,20,False,6,False,2,0.4,0.4091,0.87,0.2537,11,25,36,9.8
22,2011-01-01,1,0,1,21,False,6,False,2,0.4,0.4091,0.87,0.194,3,31,34,9.8
23,2011-01-01,1,0,1,22,False,6,False,2,0.4,0.4091,0.94,0.2239,11,17,28,9.8
24,2011-01-01,1,0,1,23,False,6,False,2,0.46,0.4545,0.88,0.2985,15,24,39,9.8
25,2011-01-02,1,0,1,0,False,0,False,2,0.46,0.4545,0.88,0.2985,4,13,17,9.8
26,2011-01-02,1,0,1,1,False,0,False,2,0.44,0.4394,0.94,0.2537,1,16,17,9.8
27,2011-01-02,1,0,1,2,False,0,False,2,0.42,0.4242,1.0,0.2836,1,8,9,9.8
28,2011-01-02,1,0,1,3,False,0,False,2,0.46,0.4545,0.94,0.194,2,4,6,9.8
29,2011-01-02,1,0,1,4,False,0,False,2,0.46,0.4545,0.94,0.194,2,1,3,9.8
30,2011-01-02,1,0,1,6,False,0,False,3,0.42,0.4242,0.77,0.2985,0,2,2,9.8
31,2011-01-02,1,0,1,7,False,0,False,2,0.4,0.4091,0.76,0.194,0,1,1,9.8
32,2011-01-02,1,0,1,8,False,0,False,3,0.4,0.4091,0.71,0.2239,0,8,8,9.8
33,2011-01-02,1,0,1,9,False,0,False,2,0.38,0.3939,0.76,0.2239,1,19,20,9.8
34,2011-01-02,1,0,1,10,False,0,False,2,0.36,0.3485,0.81,0.2239,7,46,53,9.8
35,2011-01-02,1,0,1,11,False,0,False,2,0.36,0.3333,0.71,0.2537,16,54,70,9.8
36,2011-01-02,1,0,1,12,False,0,False,2,0.36,0.3333,0.66,0.2985,20,73,93,9.8
